Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,ID,59847,,6,Tax,1,1,0,
US,ID,83120,,6,Tax,1,1,0,
US,ID,83201,,6,Tax,1,1,0,
US,ID,83202,,6,Tax,1,1,0,
US,ID,83203,,6,Tax,1,1,0,
US,ID,83204,,6,Tax,1,1,0,
US,ID,83205,,6,Tax,1,1,0,
US,ID,83206,,6,Tax,1,1,0,
US,ID,83209,,6,Tax,1,1,0,
US,ID,83210,,6,Tax,1,1,0,
US,ID,83211,,6,Tax,1,1,0,
US,ID,83212,,6,Tax,1,1,0,
US,ID,83213,,6,Tax,1,1,0,
US,ID,83214,,6,Tax,1,1,0,
US,ID,83215,,6,Tax,1,1,0,
US,ID,83217,,6,Tax,1,1,0,
US,ID,83218,,6,Tax,1,1,0,
US,ID,83220,,6,Tax,1,1,0,
US,ID,83221,,6,Tax,1,1,0,
US,ID,83223,,6,Tax,1,1,0,
US,ID,83226,,6,Tax,1,1,0,
US,ID,83227,,6,Tax,1,1,0,
US,ID,83228,,6,Tax,1,1,0,
US,ID,83229,,6,Tax,1,1,0,
US,ID,83232,,6,Tax,1,1,0,
US,ID,83233,,6,Tax,1,1,0,
US,ID,83234,,6,Tax,1,1,0,
US,ID,83235,,6,Tax,1,1,0,
US,ID,83236,,6,Tax,1,1,0,
US,ID,83237,,6,Tax,1,1,0,
US,ID,83238,,6,Tax,1,1,0,
US,ID,83239,,6,Tax,1,1,0,
US,ID,83241,,6,Tax,1,1,0,
US,ID,83243,,6,Tax,1,1,0,
US,ID,83244,,6,Tax,1,1,0,
US,ID,83245,,6,Tax,1,1,0,
US,ID,83246,,8,Tax,1,1,0,
US,ID,83250,,6,Tax,1,1,0,
US,ID,83251,,6,Tax,1,1,0,
US,ID,83252,,6,Tax,1,1,0,
US,ID,83253,,6,Tax,1,1,0,
US,ID,83254,,6,Tax,1,1,0,
US,ID,83255,,6,Tax,1,1,0,
US,ID,83256,,6,Tax,1,1,0,
US,ID,83261,,6,Tax,1,1,0,
US,ID,83262,,6,Tax,1,1,0,
US,ID,83263,,6,Tax,1,1,0,
US,ID,83271,,6,Tax,1,1,0,
US,ID,83272,,6,Tax,1,1,0,
US,ID,83274,,6,Tax,1,1,0,
US,ID,83276,,6,Tax,1,1,0,
US,ID,83277,,6,Tax,1,1,0,
US,ID,83278,,8.5,Tax,1,1,0,
US,ID,83281,,6,Tax,1,1,0,
US,ID,83283,,6,Tax,1,1,0,
US,ID,83285,,6,Tax,1,1,0,
US,ID,83286,,6,Tax,1,1,0,
US,ID,83287,,6,Tax,1,1,0,
US,ID,83301,,6,Tax,1,1,0,
US,ID,83302,,6,Tax,1,1,0,
US,ID,83303,,6,Tax,1,1,0,
US,ID,83311,,6,Tax,1,1,0,
US,ID,83312,,6,Tax,1,1,0,
US,ID,83313,,6,Tax,1,1,0,
US,ID,83314,,6,Tax,1,1,0,
US,ID,83316,,6,Tax,1,1,0,
US,ID,83318,,6,Tax,1,1,0,
US,ID,83320,,6,Tax,1,1,0,
US,ID,83321,,6,Tax,1,1,0,
US,ID,83322,,6,Tax,1,1,0,
US,ID,83323,,6,Tax,1,1,0,
US,ID,83324,,6,Tax,1,1,0,
US,ID,83325,,6,Tax,1,1,0,
US,ID,83327,,6,Tax,1,1,0,
US,ID,83328,,6,Tax,1,1,0,
US,ID,83330,,6,Tax,1,1,0,
US,ID,83332,,6,Tax,1,1,0,
US,ID,83333,,6,Tax,1,1,0,
US,ID,83334,,6,Tax,1,1,0,
US,ID,83335,,6,Tax,1,1,0,
US,ID,83336,,6,Tax,1,1,0,
US,ID,83337,,6,Tax,1,1,0,
US,ID,83338,,6,Tax,1,1,0,
US,ID,83340,,8,Tax,1,1,0,
US,ID,83341,,6,Tax,1,1,0,
US,ID,83342,,6,Tax,1,1,0,
US,ID,83343,,6,Tax,1,1,0,
US,ID,83344,,6,Tax,1,1,0,
US,ID,83346,,6,Tax,1,1,0,
US,ID,83347,,6,Tax,1,1,0,
US,ID,83348,,6,Tax,1,1,0,
US,ID,83349,,6,Tax,1,1,0,
US,ID,83350,,6,Tax,1,1,0,
US,ID,83352,,6,Tax,1,1,0,
US,ID,83353,,9,Tax,1,1,0,
US,ID,83354,,9,Tax,1,1,0,
US,ID,83355,,6,Tax,1,1,0,
US,ID,83401,,6,Tax,1,1,0,
US,ID,83402,,6,Tax,1,1,0,
US,ID,83403,,6,Tax,1,1,0,
US,ID,83404,,6,Tax,1,1,0,
US,ID,83405,,6,Tax,1,1,0,
US,ID,83406,,6,Tax,1,1,0,
US,ID,83415,,6,Tax,1,1,0,
US,ID,83420,,6,Tax,1,1,0,
US,ID,83421,,6,Tax,1,1,0,
US,ID,83422,,6.5,Tax,1,1,0,
US,ID,83423,,6,Tax,1,1,0,
US,ID,83424,,6,Tax,1,1,0,
US,ID,83425,,6,Tax,1,1,0,
US,ID,83427,,6,Tax,1,1,0,
