Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,IL,60002,,8,Tax,1,1,0,
US,IL,60004,,10,Tax,1,1,0,
US,IL,60005,,10,Tax,1,1,0,
US,IL,60006,,10,Tax,1,1,0,
US,IL,60007,,10.25,Tax,1,1,0,
US,IL,60008,,10,Tax,1,1,0,
US,IL,60009,,10,Tax,1,1,0,
US,IL,60010,,10,Tax,1,1,0,
US,IL,60011,,9,Tax,1,1,0,
US,IL,60012,,7.75,Tax,1,1,0,
US,IL,60013,,8,Tax,1,1,0,
US,IL,60014,,8,Tax,1,1,0,
US,IL,60015,,10,Tax,1,1,0,
US,IL,60016,,10.25,Tax,1,1,0,
US,IL,60017,,10,Tax,1,1,0,
US,IL,60018,,10.25,Tax,1,1,0,
US,IL,60019,,10,Tax,1,1,0,
US,IL,60020,,8,Tax,1,1,0,
US,IL,60021,,8,Tax,1,1,0,
US,IL,60022,,9,Tax,1,1,0,
US,IL,60025,,10.75,Tax,1,1,0,
US,IL,60026,,10,Tax,1,1,0,
US,IL,60029,,10.25,Tax,1,1,0,
US,IL,60030,,8,Tax,1,1,0,
US,IL,60031,,8.5,Tax,1,1,0,
US,IL,60033,,7.75,Tax,1,1,0,
US,IL,60034,,7,Tax,1,1,0,
US,IL,60035,,9,Tax,1,1,0,
US,IL,60037,,8.75,Tax,1,1,0,
US,IL,60038,,10,Tax,1,1,0,
US,IL,60039,,7.75,Tax,1,1,0,
US,IL,60040,,8.75,Tax,1,1,0,
US,IL,60041,,8,Tax,1,1,0,
US,IL,60042,,7,Tax,1,1,0,
US,IL,60043,,10,Tax,1,1,0,
US,IL,60044,,8,Tax,1,1,0,
US,IL,60045,,8,Tax,1,1,0,
US,IL,60046,,8,Tax,1,1,0,
US,IL,60047,,9,Tax,1,1,0,
US,IL,60048,,8.5,Tax,1,1,0,
US,IL,60050,,7.75,Tax,1,1,0,
US,IL,60051,,8,Tax,1,1,0,
US,IL,60053,,10.5,Tax,1,1,0,
US,IL,60055,,10,Tax,1,1,0,
US,IL,60056,,10.25,Tax,1,1,0,
US,IL,60060,,8,Tax,1,1,0,
US,IL,60061,,8,Tax,1,1,0,
US,IL,60062,,10,Tax,1,1,0,
US,IL,60064,,7,Tax,1,1,0,
US,IL,60065,,10,Tax,1,1,0,
US,IL,60067,,10,Tax,1,1,0,
US,IL,60068,,10.25,Tax,1,1,0,
US,IL,60069,,8,Tax,1,1,0,
US,IL,60070,,10,Tax,1,1,0,
US,IL,60071,,7.75,Tax,1,1,0,
US,IL,60072,,7.75,Tax,1,1,0,
US,IL,60073,,8,Tax,1,1,0,
US,IL,60074,,10,Tax,1,1,0,
US,IL,60075,,7,Tax,1,1,0,
US,IL,60076,,10.25,Tax,1,1,0,
US,IL,60077,,10.25,Tax,1,1,0,
US,IL,60078,,10,Tax,1,1,0,
US,IL,60079,,8.5,Tax,1,1,0,
US,IL,60081,,8,Tax,1,1,0,
US,IL,60082,,10,Tax,1,1,0,
US,IL,60083,,8.5,Tax,1,1,0,
US,IL,60084,,8,Tax,1,1,0,
US,IL,60085,,8.5,Tax,1,1,0,
US,IL,60086,,7,Tax,1,1,0,
US,IL,60087,,8.5,Tax,1,1,0,
US,IL,60088,,8,Tax,1,1,0,
US,IL,60089,,10,Tax,1,1,0,
US,IL,60090,,10,Tax,1,1,0,
US,IL,60091,,10.25,Tax,1,1,0,
US,IL,60093,,10,Tax,1,1,0,
US,IL,60094,,10,Tax,1,1,0,
US,IL,60095,,10,Tax,1,1,0,
US,IL,60096,,7,Tax,1,1,0,
US,IL,60097,,7.5,Tax,1,1,0,
US,IL,60098,,8,Tax,1,1,0,
US,IL,60099,,8.5,Tax,1,1,0,
US,IL,60101,,8.25,Tax,1,1,0,
US,IL,60102,,9,Tax,1,1,0,
US,IL,60103,,10.5,Tax,1,1,0,
US,IL,60104,,10.5,Tax,1,1,0,
US,IL,60105,,8,Tax,1,1,0,
US,IL,60106,,10,Tax,1,1,0,
US,IL,60107,,10,Tax,1,1,0,
US,IL,60108,,8.5,Tax,1,1,0,
US,IL,60109,,7,Tax,1,1,0,
US,IL,60110,,9,Tax,1,1,0,
US,IL,60111,,6.25,Tax,1,1,0,
US,IL,60112,,8,Tax,1,1,0,
US,IL,60113,,6.25,Tax,1,1,0,
US,IL,60115,,8,Tax,1,1,0,
US,IL,60116,,8,Tax,1,1,0,
US,IL,60117,,7.5,Tax,1,1,0,
US,IL,60118,,11,Tax,1,1,0,
US,IL,60119,,8,Tax,1,1,0,
US,IL,60120,,10.5,Tax,1,1,0,
US,IL,60121,,8.5,Tax,1,1,0,
US,IL,60122,,8,Tax,1,1,0,
US,IL,60123,,8.5,Tax,1,1,0,
US,IL,60124,,8.5,Tax,1,1,0,
US,IL,60126,,10,Tax,1,1,0,
US,IL,60128,,8,Tax,1,1,0,
US,IL,60129,,6.25,Tax,1,1,0,
US,IL,60130,,10,Tax,1,1,0,
US,IL,60131,,10.25,Tax,1,1,0,
US,IL,60132,,8,Tax,1,1,0,
US,IL,60133,,10,Tax,1,1,0,
US,IL,60134,,8,Tax,1,1,0,
US,IL,60135,,7.75,Tax,1,1,0,
US,IL,60136,,8.5,Tax,1,1,0,
US,IL,60137,,8.25,Tax,1,1,0,
US,IL,60138,,8.25,Tax,1,1,0,
US,IL,60139,,8.25,Tax,1,1,0,
US,IL,60140,,8.5,Tax,1,1,0,
US,IL,60141,,9,Tax,1,1,0,
US,IL,60142,,8,Tax,1,1,0,
US,IL,60143,,8.25,Tax,1,1,0,
US,IL,60144,,7,Tax,1,1,0,
US,IL,60145,,7.75,Tax,1,1,0,
US,IL,60146,,7.75,Tax,1,1,0,
US,IL,60147,,7,Tax,1,1,0,
US,IL,60148,,9,Tax,1,1,0,
US,IL,60150,,6.25,Tax,1,1,0,
US,IL,60151,,8,Tax,1,1,0,
US,IL,60152,,7.75,Tax,1,1,0,
US,IL,60153,,10.5,Tax,1,1,0,
US,IL,60154,,10,Tax,1,1,0,
US,IL,60155,,10,Tax,1,1,0,
US,IL,60156,,8,Tax,1,1,0,
US,IL,60157,,7.5,Tax,1,1,0,
US,IL,60159,,10,Tax,1,1,0,
US,IL,60160,,11,Tax,1,1,0,
US,IL,60161,,10.5,Tax,1,1,0,
US,IL,60162,,10.5,Tax,1,1,0,
US,IL,60163,,10.5,Tax,1,1,0,
US,IL,60164,,10.5,Tax,1,1,0,
US,IL,60165,,10.5,Tax,1,1,0,
US,IL,60168,,10,Tax,1,1,0,
US,IL,60169,,10,Tax,1,1,0,
US,IL,60171,,11,Tax,1,1,0,
US,IL,60172,,10,Tax,1,1,0,
US,IL,60173,,10,Tax,1,1,0,
US,IL,60174,,8,Tax,1,1,0,
US,IL,60175,,8.5,Tax,1,1,0,
US,IL,60176,,10,Tax,1,1,0,
US,IL,60177,,8.5,Tax,1,1,0,
US,IL,60178,,8,Tax,1,1,0,
US,IL,60179,,10,Tax,1,1,0,
US,IL,60180,,7,Tax,1,1,0,
US,IL,60181,,9,Tax,1,1,0,
US,IL,60183,,7,Tax,1,1,0,
US,IL,60184,,8,Tax,1,1,0,
US,IL,60185,,8.25,Tax,1,1,0,
US,IL,60186,,8,Tax,1,1,0,
US,IL,60187,,8.25,Tax,1,1,0,
US,IL,60188,,8.25,Tax,1,1,0,
US,IL,60189,,8.25,Tax,1,1,0,
US,IL,60190,,7.5,Tax,1,1,0,
US,IL,60191,,8.25,Tax,1,1,0,
US,IL,60192,,10,Tax,1,1,0,
US,IL,60193,,10,Tax,1,1,0,
US,IL,60194,,10,Tax,1,1,0,
US,IL,60195,,10,Tax,1,1,0,
US,IL,60196,,10,Tax,1,1,0,
US,IL,60197,,8,Tax,1,1,0,
US,IL,60199,,8,Tax,1,1,0,
US,IL,60201,,10.25,Tax,1,1,0,
US,IL,60202,,10.25,Tax,1,1,0,
US,IL,60203,,10.25,Tax,1,1,0,
US,IL,60204,,10.25,Tax,1,1,0,
US,IL,60208,,10.25,Tax,1,1,0,
US,IL,60301,,10,Tax,1,1,0,
US,IL,60302,,10.25,Tax,1,1,0,
US,IL,60303,,10,Tax,1,1,0,
US,IL,60304,,10,Tax,1,1,0,
US,IL,60305,,10,Tax,1,1,0,
US,IL,60399,,8,Tax,1,1,0,
US,IL,60401,,8,Tax,1,1,0,
US,IL,60402,,10.75,Tax,1,1,0,
US,IL,60403,,8.75,Tax,1,1,0,
US,IL,60404,,8.75,Tax,1,1,0,
US,IL,60406,,10,Tax,1,1,0,
US,IL,60407,,7,Tax,1,1,0,
US,IL,60408,,7,Tax,1,1,0,
US,IL,60409,,11,Tax,1,1,0,
US,IL,60410,,8.75,Tax,1,1,0,
US,IL,60411,,10,Tax,1,1,0,
US,IL,60412,,10,Tax,1,1,0,
US,IL,60415,,10.5,Tax,1,1,0,
US,IL,60416,,7,Tax,1,1,0,
US,IL,60417,,8,Tax,1,1,0,
US,IL,60418,,10,Tax,1,1,0,
US,IL,60419,,10.25,Tax,1,1,0,
US,IL,60420,,8.25,Tax,1,1,0,
US,IL,60421,,8.75,Tax,1,1,0,
US,IL,60422,,10.25,Tax,1,1,0,
US,IL,60423,,9.75,Tax,1,1,0,
US,IL,60424,,6.25,Tax,1,1,0,
US,IL,60425,,10,Tax,1,1,0,
US,IL,60426,,11.5,Tax,1,1,0,
US,IL,60428,,10.5,Tax,1,1,0,
US,IL,60429,,10.5,Tax,1,1,0,
US,IL,60430,,10.25,Tax,1,1,0,
US,IL,60431,,9,Tax,1,1,0,
US,IL,60432,,9,Tax,1,1,0,
US,IL,60433,,9,Tax,1,1,0,
US,IL,60434,,8.75,Tax,1,1,0,
US,IL,60435,,8.75,Tax,1,1,0,
US,IL,60436,,9.75,Tax,1,1,0,
US,IL,60437,,6.5,Tax,1,1,0,
US,IL,60438,,9.5,Tax,1,1,0,
US,IL,60439,,10,Tax,1,1,0,
US,IL,60440,,8.5,Tax,1,1,0,
US,IL,60441,,9,Tax,1,1,0,
US,IL,60442,,9,Tax,1,1,0,
US,IL,60443,,10.5,Tax,1,1,0,
US,IL,60444,,6.25,Tax,1,1,0,
US,IL,60445,,10,Tax,1,1,0,
US,IL,60446,,8.5,Tax,1,1,0,
US,IL,60447,,9,Tax,1,1,0,
US,IL,60448,,9.75,Tax,1,1,0,
US,IL,60449,,10,Tax,1,1,0,
US,IL,60450,,7.25,Tax,1,1,0,
US,IL,60451,,9,Tax,1,1,0,
US,IL,60452,,10,Tax,1,1,0,
US,IL,60453,,10.25,Tax,1,1,0,
US,IL,60454,,10.25,Tax,1,1,0,
US,IL,60455,,10.25,Tax,1,1,0,
US,IL,60456,,10.25,Tax,1,1,0,
US,IL,60457,,10,Tax,1,1,0,
US,IL,60458,,10,Tax,1,1,0,
US,IL,60459,,10.25,Tax,1,1,0,
US,IL,60460,,7.25,Tax,1,1,0,
US,IL,60461,,10,Tax,1,1,0,
US,IL,60462,,10,Tax,1,1,0,
US,IL,60463,,10,Tax,1,1,0,
US,IL,60464,,9.75,Tax,1,1,0,
US,IL,60465,,10,Tax,1,1,0,
US,IL,60466,,10,Tax,1,1,0,
US,IL,60467,,10,Tax,1,1,0,
US,IL,60468,,8,Tax,1,1,0,
US,IL,60469,,10,Tax,1,1,0,
US,IL,60470,,7.25,Tax,1,1,0,
US,IL,60471,,10.5,Tax,1,1,0,
US,IL,60472,,10,Tax,1,1,0,
US,IL,60473,,10.5,Tax,1,1,0,
US,IL,60474,,6.25,Tax,1,1,0,
US,IL,60475,,10,Tax,1,1,0,
US,IL,60476,,9.5,Tax,1,1,0,
US,IL,60477,,10.25,Tax,1,1,0,
US,IL,60478,,10.25,Tax,1,1,0,
US,IL,60479,,6.25,Tax,1,1,0,
US,IL,60480,,10,Tax,1,1,0,
US,IL,60481,,8,Tax,1,1,0,
US,IL,60482,,10,Tax,1,1,0,
US,IL,60484,,10,Tax,1,1,0,
US,IL,60487,,10,Tax,1,1,0,
US,IL,60490,,8.5,Tax,1,1,0,
US,IL,60491,,9.75,Tax,1,1,0,
US,IL,60499,,10,Tax,1,1,0,
US,IL,60501,,10,Tax,1,1,0,
US,IL,60502,,8.25,Tax,1,1,0,
US,IL,60503,,8.5,Tax,1,1,0,
US,IL,60504,,8.75,Tax,1,1,0,
US,IL,60505,,8.25,Tax,1,1,0,
US,IL,60506,,8.25,Tax,1,1,0,
US,IL,60507,,8.25,Tax,1,1,0,
US,IL,60510,,8.25,Tax,1,1,0,
US,IL,60511,,8,Tax,1,1,0,
US,IL,60512,,8.25,Tax,1,1,0,
US,IL,60513,,10,Tax,1,1,0,
US,IL,60514,,8,Tax,1,1,0,
US,IL,60515,,8,Tax,1,1,0,
US,IL,60516,,8,Tax,1,1,0,
US,IL,60517,,8.5,Tax,1,1,0,
US,IL,60518,,7.75,Tax,1,1,0,
US,IL,60519,,7,Tax,1,1,0,
US,IL,60520,,7.25,Tax,1,1,0,
US,IL,60521,,10,Tax,1,1,0,
US,IL,60522,,8,Tax,1,1,0,
US,IL,60523,,10,Tax,1,1,0,
US,IL,60525,,10,Tax,1,1,0,
US,IL,60526,,10,Tax,1,1,0,
US,IL,60527,,10.25,Tax,1,1,0,
US,IL,60530,,7.75,Tax,1,1,0,
US,IL,60531,,6.5,Tax,1,1,0,
US,IL,60532,,7.75,Tax,1,1,0,
US,IL,60534,,10,Tax,1,1,0,
US,IL,60536,,7.25,Tax,1,1,0,
US,IL,60537,,7.25,Tax,1,1,0,
US,IL,60538,,8.5,Tax,1,1,0,
US,IL,60539,,8,Tax,1,1,0,
US,IL,60540,,7.75,Tax,1,1,0,
US,IL,60541,,8.25,Tax,1,1,0,
US,IL,60542,,8.25,Tax,1,1,0,
US,IL,60543,,8.75,Tax,1,1,0,
US,IL,60544,,8.75,Tax,1,1,0,
US,IL,60545,,8.25,Tax,1,1,0,
US,IL,60546,,11,Tax,1,1,0,
US,IL,60548,,8.25,Tax,1,1,0,
US,IL,60549,,6.5,Tax,1,1,0,
US,IL,60550,,7.25,Tax,1,1,0,
US,IL,60551,,6.5,Tax,1,1,0,
US,IL,60552,,6.5,Tax,1,1,0,
US,IL,60553,,7.75,Tax,1,1,0,
US,IL,60554,,8.25,Tax,1,1,0,
US,IL,60555,,8.25,Tax,1,1,0,
US,IL,60556,,7.25,Tax,1,1,0,
US,IL,60557,,6.5,Tax,1,1,0,
US,IL,60558,,10,Tax,1,1,0,
US,IL,60559,,8,Tax,1,1,0,
US,IL,60560,,9.25,Tax,1,1,0,
US,IL,60561,,8,Tax,1,1,0,
US,IL,60563,,8.25,Tax,1,1,0,
US,IL,60564,,8.5,Tax,1,1,0,
US,IL,60565,,8.5,Tax,1,1,0,
US,IL,60566,,7.75,Tax,1,1,0,
US,IL,60567,,7.75,Tax,1,1,0,
US,IL,60568,,8.25,Tax,1,1,0,
US,IL,60569,,8.25,Tax,1,1,0,
US,IL,60572,,8.25,Tax,1,1,0,
US,IL,60585,,8.75,Tax,1,1,0,
US,IL,60586,,9,Tax,1,1,0,
US,IL,60598,,8.25,Tax,1,1,0,
US,IL,60599,,8.25,Tax,1,1,0,
US,IL,60601,,10.25,Tax,1,1,0,
US,IL,60602,,10.25,Tax,1,1,0,
US,IL,60603,,10.25,Tax,1,1,0,
US,IL,60604,,10.25,Tax,1,1,0,
US,IL,60605,,10.25,Tax,1,1,0,
US,IL,60606,,10.25,Tax,1,1,0,
US,IL,60607,,10.25,Tax,1,1,0,
US,IL,60608,,10.25,Tax,1,1,0,
US,IL,60609,,10.25,Tax,1,1,0,
US,IL,60610,,10.25,Tax,1,1,0,
US,IL,60611,,10.25,Tax,1,1,0,
US,IL,60612,,10.25,Tax,1,1,0,
US,IL,60613,,10.25,Tax,1,1,0,
US,IL,60614,,10.25,Tax,1,1,0,
US,IL,60615,,10.25,Tax,1,1,0,
US,IL,60616,,10.25,Tax,1,1,0,
US,IL,60617,,10.25,Tax,1,1,0,
US,IL,60618,,10.25,Tax,1,1,0,
US,IL,60619,,10.25,Tax,1,1,0,
US,IL,60620,,10.25,Tax,1,1,0,
US,IL,60621,,10.25,Tax,1,1,0,
US,IL,60622,,10.25,Tax,1,1,0,
US,IL,60623,,10.25,Tax,1,1,0,
US,IL,60624,,10.25,Tax,1,1,0,
US,IL,60625,,10.25,Tax,1,1,0,
US,IL,60626,,10.25,Tax,1,1,0,
US,IL,60628,,10.25,Tax,1,1,0,
US,IL,60629,,10.25,Tax,1,1,0,
US,IL,60630,,10.25,Tax,1,1,0,
US,IL,60631,,10.25,Tax,1,1,0,
US,IL,60632,,10.25,Tax,1,1,0,
US,IL,60633,,10.25,Tax,1,1,0,
US,IL,60634,,11,Tax,1,1,0,
US,IL,60636,,10.25,Tax,1,1,0,
US,IL,60637,,10.25,Tax,1,1,0,
US,IL,60638,,10.25,Tax,1,1,0,
US,IL,60639,,10.25,Tax,1,1,0,
US,IL,60640,,10.25,Tax,1,1,0,
US,IL,60641,,10.25,Tax,1,1,0,
US,IL,60642,,10.25,Tax,1,1,0,
US,IL,60643,,10.25,Tax,1,1,0,
US,IL,60644,,10.75,Tax,1,1,0,
US,IL,60645,,10.25,Tax,1,1,0,
US,IL,60646,,10.25,Tax,1,1,0,
US,IL,60647,,10.25,Tax,1,1,0,
US,IL,60649,,10.25,Tax,1,1,0,
US,IL,60651,,10.25,Tax,1,1,0,
US,IL,60652,,10.25,Tax,1,1,0,
US,IL,60653,,10.25,Tax,1,1,0,
US,IL,60654,,10.25,Tax,1,1,0,
US,IL,60655,,10.25,Tax,1,1,0,
US,IL,60656,,10.5,Tax,1,1,0,
US,IL,60657,,10.25,Tax,1,1,0,
US,IL,60659,,10.25,Tax,1,1,0,
US,IL,60660,,10.25,Tax,1,1,0,
US,IL,60661,,10.25,Tax,1,1,0,
US,IL,60664,,10.25,Tax,1,1,0,
US,IL,60666,,10.25,Tax,1,1,0,
US,IL,60668,,10.25,Tax,1,1,0,
US,IL,60669,,10.25,Tax,1,1,0,
US,IL,60670,,10.25,Tax,1,1,0,
US,IL,60673,,10.25,Tax,1,1,0,
US,IL,60674,,10.25,Tax,1,1,0,
US,IL,60675,,10.25,Tax,1,1,0,
US,IL,60677,,10.25,Tax,1,1,0,
US,IL,60678,,10.25,Tax,1,1,0,
US,IL,60680,,10.25,Tax,1,1,0,
US,IL,60681,,10.25,Tax,1,1,0,
US,IL,60682,,10.25,Tax,1,1,0,
US,IL,60684,,10.25,Tax,1,1,0,
US,IL,60685,,10.25,Tax,1,1,0,
