Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,MO,63005,,10.113,Tax,1,1,0,
US,MO,63006,,8.988,Tax,1,1,0,
US,MO,63010,,10.35,Tax,1,1,0,
US,MO,63011,,9.988,Tax,1,1,0,
US,MO,63012,,8.85,Tax,1,1,0,
US,MO,63013,,7.475,Tax,1,1,0,
US,MO,63014,,7.975,Tax,1,1,0,
US,MO,63015,,7.475,Tax,1,1,0,
US,MO,63016,,6.85,Tax,1,1,0,
US,MO,63017,,9.988,Tax,1,1,0,
US,MO,63019,,10.1,Tax,1,1,0,
US,MO,63020,,10.85,Tax,1,1,0,
US,MO,63021,,9.988,Tax,1,1,0,
US,MO,63022,,8.738,Tax,1,1,0,
US,MO,63023,,7.225,Tax,1,1,0,
US,MO,63024,,8.988,Tax,1,1,0,
US,MO,63025,,10.238,Tax,1,1,0,
US,MO,63026,,9.238,Tax,1,1,0,
US,MO,63028,,10.85,Tax,1,1,0,
US,MO,63030,,7.225,Tax,1,1,0,
US,MO,63031,,9.988,Tax,1,1,0,
US,MO,63032,,8.988,Tax,1,1,0,
US,MO,63033,,9.988,Tax,1,1,0,
US,MO,63034,,7.738,Tax,1,1,0,
US,MO,63036,,7.225,Tax,1,1,0,
US,MO,63037,,9.475,Tax,1,1,0,
US,MO,63038,,8.988,Tax,1,1,0,
US,MO,63039,,7.975,Tax,1,1,0,
US,MO,63040,,9.238,Tax,1,1,0,
US,MO,63041,,7.475,Tax,1,1,0,
US,MO,63042,,11.988,Tax,1,1,0,
US,MO,63043,,9.238,Tax,1,1,0,
US,MO,63044,,10.988,Tax,1,1,0,
US,MO,63045,,8.988,Tax,1,1,0,
US,MO,63047,,6.85,Tax,1,1,0,
US,MO,63048,,10.85,Tax,1,1,0,
US,MO,63049,,9.85,Tax,1,1,0,
US,MO,63050,,10.225,Tax,1,1,0,
US,MO,63051,,9.85,Tax,1,1,0,
US,MO,63052,,8.6,Tax,1,1,0,
US,MO,63053,,8.6,Tax,1,1,0,
US,MO,63055,,6.975,Tax,1,1,0,
US,MO,63056,,7.475,Tax,1,1,0,
US,MO,63057,,7.1,Tax,1,1,0,
US,MO,63060,,7.475,Tax,1,1,0,
US,MO,63061,,7.475,Tax,1,1,0,
US,MO,63065,,6.85,Tax,1,1,0,
US,MO,63066,,6.85,Tax,1,1,0,
US,MO,63068,,9.725,Tax,1,1,0,
US,MO,63069,,10.475,Tax,1,1,0,
US,MO,63070,,9.85,Tax,1,1,0,
US,MO,63071,,7.225,Tax,1,1,0,
US,MO,63072,,7.475,Tax,1,1,0,
US,MO,63073,,6.975,Tax,1,1,0,
US,MO,63074,,11.738,Tax,1,1,0,
US,MO,63077,,10.475,Tax,1,1,0,
US,MO,63079,,6.975,Tax,1,1,0,
US,MO,63080,,9.975,Tax,1,1,0,
US,MO,63084,,10.475,Tax,1,1,0,
US,MO,63087,,6.85,Tax,1,1,0,
US,MO,63088,,9.738,Tax,1,1,0,
US,MO,63089,,7.975,Tax,1,1,0,
US,MO,63090,,9.6,Tax,1,1,0,
US,MO,63091,,7.6,Tax,1,1,0,
US,MO,63099,,8.738,Tax,1,1,0,
US,MO,63101,,11.679,Tax,1,1,0,
US,MO,63102,,11.679,Tax,1,1,0,
US,MO,63103,,11.679,Tax,1,1,0,
US,MO,63104,,11.679,Tax,1,1,0,
US,MO,63105,,10.238,Tax,1,1,0,
US,MO,63106,,10.679,Tax,1,1,0,
US,MO,63107,,9.679,Tax,1,1,0,
US,MO,63108,,11.679,Tax,1,1,0,
US,MO,63109,,10.679,Tax,1,1,0,
US,MO,63110,,10.679,Tax,1,1,0,
US,MO,63111,,10.679,Tax,1,1,0,
US,MO,63112,,11.679,Tax,1,1,0,
US,MO,63113,,9.679,Tax,1,1,0,
US,MO,63114,,9.988,Tax,1,1,0,
US,MO,63115,,9.679,Tax,1,1,0,
US,MO,63116,,10.679,Tax,1,1,0,
US,MO,63117,,11.488,Tax,1,1,0,
US,MO,63118,,11.679,Tax,1,1,0,
US,MO,63119,,11.238,Tax,1,1,0,
US,MO,63120,,9.679,Tax,1,1,0,
US,MO,63121,,9.988,Tax,1,1,0,
US,MO,63122,,10.238,Tax,1,1,0,
US,MO,63123,,9.988,Tax,1,1,0,
US,MO,63124,,10.238,Tax,1,1,0,
US,MO,63125,,9.679,Tax,1,1,0,
US,MO,63126,,10.238,Tax,1,1,0,
US,MO,63127,,9.988,Tax,1,1,0,
US,MO,63128,,9.679,Tax,1,1,0,
US,MO,63129,,8.238,Tax,1,1,0,
US,MO,63130,,11.679,Tax,1,1,0,
US,MO,63131,,11.238,Tax,1,1,0,
US,MO,63132,,10.238,Tax,1,1,0,
US,MO,63133,,9.679,Tax,1,1,0,
US,MO,63134,,11.488,Tax,1,1,0,
US,MO,63135,,10.738,Tax,1,1,0,
US,MO,63136,,10.488,Tax,1,1,0,
US,MO,63137,,9.679,Tax,1,1,0,
US,MO,63138,,9.679,Tax,1,1,0,
US,MO,63139,,11.679,Tax,1,1,0,
US,MO,63140,,9.738,Tax,1,1,0,
US,MO,63141,,9.988,Tax,1,1,0,
US,MO,63143,,10.488,Tax,1,1,0,
US,MO,63144,,10.738,Tax,1,1,0,
US,MO,63145,,9.738,Tax,1,1,0,
US,MO,63146,,10.238,Tax,1,1,0,
US,MO,63147,,10.679,Tax,1,1,0,
US,MO,63150,,9.679,Tax,1,1,0,
US,MO,63151,,7.738,Tax,1,1,0,
US,MO,63155,,9.679,Tax,1,1,0,
US,MO,63156,,9.679,Tax,1,1,0,
US,MO,63157,,9.679,Tax,1,1,0,
US,MO,63158,,9.679,Tax,1,1,0,
US,MO,63160,,9.679,Tax,1,1,0,
US,MO,63163,,9.679,Tax,1,1,0,
US,MO,63164,,9.679,Tax,1,1,0,
US,MO,63166,,9.679,Tax,1,1,0,
US,MO,63167,,8.988,Tax,1,1,0,
US,MO,63169,,9.679,Tax,1,1,0,
US,MO,63171,,9.679,Tax,1,1,0,
US,MO,63177,,9.679,Tax,1,1,0,
US,MO,63178,,9.679,Tax,1,1,0,
US,MO,63179,,9.679,Tax,1,1,0,
US,MO,63180,,9.679,Tax,1,1,0,
US,MO,63188,,9.679,Tax,1,1,0,
US,MO,63195,,9.679,Tax,1,1,0,
US,MO,63197,,9.679,Tax,1,1,0,
US,MO,63199,,9.679,Tax,1,1,0,
US,MO,63301,,9.95,Tax,1,1,0,
US,MO,63302,,8.95,Tax,1,1,0,
US,MO,63303,,8.95,Tax,1,1,0,
US,MO,63304,,8.95,Tax,1,1,0,
US,MO,63330,,6.7875,Tax,1,1,0,
US,MO,63332,,7.45,Tax,1,1,0,
US,MO,63333,,8.475,Tax,1,1,0,
US,MO,63334,,9.0375,Tax,1,1,0,
US,MO,63336,,7.7875,Tax,1,1,0,
US,MO,63338,,8.95,Tax,1,1,0,
US,MO,63339,,7.7875,Tax,1,1,0,
US,MO,63341,,7.95,Tax,1,1,0,
US,MO,63342,,6.725,Tax,1,1,0,
US,MO,63343,,8.475,Tax,1,1,0,
US,MO,63344,,7.7875,Tax,1,1,0,
US,MO,63345,,8.35,Tax,1,1,0,
US,MO,63346,,8.45,Tax,1,1,0,
US,MO,63347,,8.975,Tax,1,1,0,
US,MO,63348,,8.725,Tax,1,1,0,
US,MO,63349,,7.975,Tax,1,1,0,
US,MO,63350,,7.475,Tax,1,1,0,
US,MO,63351,,7.975,Tax,1,1,0,
US,MO,63352,,8.85,Tax,1,1,0,
US,MO,63353,,9.0375,Tax,1,1,0,
US,MO,63357,,8.225,Tax,1,1,0,
US,MO,63359,,7.475,Tax,1,1,0,
US,MO,63361,,7.975,Tax,1,1,0,
US,MO,63362,,9.475,Tax,1,1,0,
US,MO,63363,,8.475,Tax,1,1,0,
US,MO,63365,,7.95,Tax,1,1,0,
US,MO,63366,,8.95,Tax,1,1,0,
US,MO,63367,,8.95,Tax,1,1,0,
US,MO,63368,,8.95,Tax,1,1,0,
US,MO,63369,,8.475,Tax,1,1,0,
US,MO,63370,,6.975,Tax,1,1,0,
US,MO,63373,,6.95,Tax,1,1,0,
US,MO,63376,,8.95,Tax,1,1,0,
US,MO,63377,,7.975,Tax,1,1,0,
US,MO,63378,,6.725,Tax,1,1,0,
US,MO,63379,,10.475,Tax,1,1,0,
US,MO,63380,,9.475,Tax,1,1,0,
US,MO,63381,,6.975,Tax,1,1,0,
US,MO,63382,,8.35,Tax,1,1,0,
US,MO,63383,,10.475,Tax,1,1,0,
US,MO,63384,,8.225,Tax,1,1,0,
US,MO,63385,,9.95,Tax,1,1,0,
US,MO,63386,,6.95,Tax,1,1,0,
US,MO,63387,,6.975,Tax,1,1,0,
US,MO,63388,,6.725,Tax,1,1,0,
US,MO,63389,,8.475,Tax,1,1,0,
US,MO,63390,,9.475,Tax,1,1,0,
US,MO,63401,,9.475,Tax,1,1,0,
US,MO,63430,,7.725,Tax,1,1,0,
US,MO,63431,,6.35,Tax,1,1,0,
US,MO,63432,,6.725,Tax,1,1,0,
US,MO,63433,,6.7875,Tax,1,1,0,
US,MO,63434,,7.225,Tax,1,1,0,
US,MO,63435,,8.975,Tax,1,1,0,
US,MO,63436,,8.225,Tax,1,1,0,
US,MO,63437,,7.975,Tax,1,1,0,
US,MO,63438,,7.35,Tax,1,1,0,
US,MO,63439,,6.225,Tax,1,1,0,
US,MO,63440,,8.6,Tax,1,1,0,
US,MO,63441,,7.7875,Tax,1,1,0,
US,MO,63442,,5.975,Tax,1,1,0,
US,MO,63443,,7.225,Tax,1,1,0,
US,MO,63445,,7.725,Tax,1,1,0,
US,MO,63446,,7.35,Tax,1,1,0,
US,MO,63447,,8.35,Tax,1,1,0,
US,MO,63448,,8.35,Tax,1,1,0,
US,MO,63450,,6.225,Tax,1,1,0,
US,MO,63451,,6.725,Tax,1,1,0,
US,MO,63452,,8.35,Tax,1,1,0,
US,MO,63453,,6.725,Tax,1,1,0,
US,MO,63454,,7.35,Tax,1,1,0,
US,MO,63456,,9.225,Tax,1,1,0,
US,MO,63457,,7.35,Tax,1,1,0,
US,MO,63458,,6.725,Tax,1,1,0,
US,MO,63459,,8.725,Tax,1,1,0,
US,MO,63460,,6.725,Tax,1,1,0,
US,MO,63461,,8.1,Tax,1,1,0,
US,MO,63462,,8.725,Tax,1,1,0,
US,MO,63463,,6.1,Tax,1,1,0,
US,MO,63465,,6.725,Tax,1,1,0,
