Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NE,51557,,5.5,Tax,1,1,0,
US,NE,57533,,5.5,Tax,1,1,0,
US,NE,57735,,5.5,Tax,1,1,0,
US,NE,66955,,5.5,Tax,1,1,0,
US,NE,68001,,5.5,Tax,1,1,0,
US,NE,68002,,7,Tax,1,1,0,
US,NE,68003,,7,Tax,1,1,0,
US,NE,68004,,7,Tax,1,1,0,
US,NE,68005,,7,Tax,1,1,0,
US,NE,68007,,7,Tax,1,1,0,
US,NE,68008,,7,Tax,1,1,0,
US,NE,68010,,7,Tax,1,1,0,
US,NE,68014,,5.5,Tax,1,1,0,
US,NE,68015,,5.5,Tax,1,1,0,
US,NE,68016,,5.5,Tax,1,1,0,
US,NE,68017,,7,Tax,1,1,0,
US,NE,68018,,5.5,Tax,1,1,0,
US,NE,68019,,5.5,Tax,1,1,0,
US,NE,68020,,7.5,Tax,1,1,0,
US,NE,68022,,7,Tax,1,1,0,
US,NE,68023,,7,Tax,1,1,0,
US,NE,68025,,7,Tax,1,1,0,
US,NE,68026,,7,Tax,1,1,0,
US,NE,68028,,7.5,Tax,1,1,0,
US,NE,68029,,5.5,Tax,1,1,0,
US,NE,68030,,6,Tax,1,1,0,
US,NE,68031,,6.5,Tax,1,1,0,
US,NE,68033,,5.5,Tax,1,1,0,
US,NE,68034,,5.5,Tax,1,1,0,
US,NE,68036,,6.5,Tax,1,1,0,
US,NE,68037,,7,Tax,1,1,0,
US,NE,68038,,7,Tax,1,1,0,
US,NE,68039,,5.5,Tax,1,1,0,
US,NE,68040,,5.5,Tax,1,1,0,
US,NE,68041,,5.5,Tax,1,1,0,
US,NE,68042,,5.5,Tax,1,1,0,
US,NE,68044,,5.5,Tax,1,1,0,
US,NE,68045,,7,Tax,1,1,0,
US,NE,68046,,7.5,Tax,1,1,0,
US,NE,68047,,7,Tax,1,1,0,
US,NE,68048,,7,Tax,1,1,0,
US,NE,68050,,5.5,Tax,1,1,0,
US,NE,68055,,5.5,Tax,1,1,0,
US,NE,68056,,5.5,Tax,1,1,0,
US,NE,68057,,7,Tax,1,1,0,
US,NE,68058,,5.5,Tax,1,1,0,
US,NE,68059,,7.5,Tax,1,1,0,
US,NE,68061,,7.5,Tax,1,1,0,
US,NE,68062,,5.5,Tax,1,1,0,
US,NE,68063,,6.5,Tax,1,1,0,
US,NE,68064,,7,Tax,1,1,0,
US,NE,68065,,5.5,Tax,1,1,0,
US,NE,68066,,7.5,Tax,1,1,0,
US,NE,68067,,5.5,Tax,1,1,0,
US,NE,68068,,5.5,Tax,1,1,0,
US,NE,68069,,7.5,Tax,1,1,0,
US,NE,68070,,5.5,Tax,1,1,0,
US,NE,68071,,5.5,Tax,1,1,0,
US,NE,68072,,5.5,Tax,1,1,0,
US,NE,68073,,5.5,Tax,1,1,0,
US,NE,68101,,7,Tax,1,1,0,
US,NE,68102,,7,Tax,1,1,0,
US,NE,68103,,7,Tax,1,1,0,
US,NE,68104,,7,Tax,1,1,0,
US,NE,68105,,7,Tax,1,1,0,
US,NE,68106,,7,Tax,1,1,0,
US,NE,68107,,7,Tax,1,1,0,
US,NE,68108,,7,Tax,1,1,0,
US,NE,68109,,7,Tax,1,1,0,
US,NE,68110,,7,Tax,1,1,0,
US,NE,68111,,7,Tax,1,1,0,
US,NE,68112,,7,Tax,1,1,0,
US,NE,68113,,5.5,Tax,1,1,0,
US,NE,68114,,7,Tax,1,1,0,
US,NE,68116,,7,Tax,1,1,0,
US,NE,68117,,7,Tax,1,1,0,
US,NE,68118,,7,Tax,1,1,0,
US,NE,68119,,7,Tax,1,1,0,
US,NE,68122,,7,Tax,1,1,0,
US,NE,68123,,7,Tax,1,1,0,
US,NE,68124,,7,Tax,1,1,0,
US,NE,68127,,7.5,Tax,1,1,0,
US,NE,68128,,7.5,Tax,1,1,0,
US,NE,68130,,7,Tax,1,1,0,
US,NE,68131,,7,Tax,1,1,0,
US,NE,68132,,7,Tax,1,1,0,
US,NE,68133,,7.5,Tax,1,1,0,
US,NE,68134,,7,Tax,1,1,0,
US,NE,68135,,7,Tax,1,1,0,
US,NE,68136,,7.5,Tax,1,1,0,
US,NE,68137,,7,Tax,1,1,0,
US,NE,68138,,7.5,Tax,1,1,0,
US,NE,68139,,7,Tax,1,1,0,
US,NE,68142,,5.5,Tax,1,1,0,
US,NE,68144,,7,Tax,1,1,0,
US,NE,68145,,7,Tax,1,1,0,
US,NE,68147,,7,Tax,1,1,0,
US,NE,68152,,7,Tax,1,1,0,
US,NE,68154,,7,Tax,1,1,0,
US,NE,68157,,7,Tax,1,1,0,
US,NE,68164,,7,Tax,1,1,0,
US,NE,68172,,7,Tax,1,1,0,
US,NE,68175,,7,Tax,1,1,0,
US,NE,68176,,7,Tax,1,1,0,
US,NE,68178,,7,Tax,1,1,0,
US,NE,68179,,7,Tax,1,1,0,
US,NE,68180,,7,Tax,1,1,0,
US,NE,68182,,7,Tax,1,1,0,
US,NE,68183,,7,Tax,1,1,0,
US,NE,68197,,7,Tax,1,1,0,
US,NE,68198,,7,Tax,1,1,0,
US,NE,68301,,6,Tax,1,1,0,
US,NE,68303,,5.5,Tax,1,1,0,
US,NE,68304,,5.5,Tax,1,1,0,
US,NE,68305,,6.5,Tax,1,1,0,
US,NE,68307,,5.5,Tax,1,1,0,
US,NE,68309,,6,Tax,1,1,0,
US,NE,68310,,8,Tax,1,1,0,
US,NE,68313,,6.5,Tax,1,1,0,
US,NE,68314,,5.5,Tax,1,1,0,
US,NE,68315,,5.5,Tax,1,1,0,
US,NE,68316,,7,Tax,1,1,0,
US,NE,68317,,6.5,Tax,1,1,0,
US,NE,68318,,6,Tax,1,1,0,
US,NE,68319,,5.5,Tax,1,1,0,
US,NE,68320,,5.5,Tax,1,1,0,
US,NE,68321,,6.5,Tax,1,1,0,
US,NE,68322,,5.5,Tax,1,1,0,
US,NE,68323,,5.5,Tax,1,1,0,
US,NE,68324,,5.5,Tax,1,1,0,
US,NE,68325,,5.5,Tax,1,1,0,
US,NE,68326,,5.5,Tax,1,1,0,
US,NE,68327,,6.5,Tax,1,1,0,
US,NE,68328,,6.5,Tax,1,1,0,
