Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,OK,71937,,6.25,Tax,1,1,0,
US,OK,71953,,6.25,Tax,1,1,0,
US,OK,73001,,6,Tax,1,1,0,
US,OK,73002,,10,Tax,1,1,0,
US,OK,73003,,8.625,Tax,1,1,0,
US,OK,73004,,9.25,Tax,1,1,0,
US,OK,73005,,10,Tax,1,1,0,
US,OK,73006,,9.5,Tax,1,1,0,
US,OK,73007,,8.625,Tax,1,1,0,
US,OK,73008,,8.625,Tax,1,1,0,
US,OK,73009,,10,Tax,1,1,0,
US,OK,73010,,10,Tax,1,1,0,
US,OK,73011,,8.25,Tax,1,1,0,
US,OK,73012,,8.625,Tax,1,1,0,
US,OK,73013,,8.625,Tax,1,1,0,
US,OK,73014,,8.85,Tax,1,1,0,
US,OK,73015,,10,Tax,1,1,0,
US,OK,73016,,9.75,Tax,1,1,0,
US,OK,73017,,9.5,Tax,1,1,0,
US,OK,73018,,9,Tax,1,1,0,
US,OK,73019,,8.75,Tax,1,1,0,
US,OK,73020,,9.5,Tax,1,1,0,
US,OK,73021,,8.5,Tax,1,1,0,
US,OK,73022,,8.85,Tax,1,1,0,
US,OK,73023,,9,Tax,1,1,0,
US,OK,73024,,8.5,Tax,1,1,0,
US,OK,73025,,8.5,Tax,1,1,0,
US,OK,73026,,8.995,Tax,1,1,0,
US,OK,73027,,9.25,Tax,1,1,0,
US,OK,73028,,8.25,Tax,1,1,0,
US,OK,73029,,10,Tax,1,1,0,
US,OK,73030,,9.5,Tax,1,1,0,
US,OK,73031,,10,Tax,1,1,0,
US,OK,73032,,8.5,Tax,1,1,0,
US,OK,73033,,9,Tax,1,1,0,
US,OK,73034,,8.5,Tax,1,1,0,
US,OK,73036,,8.975,Tax,1,1,0,
US,OK,73038,,10,Tax,1,1,0,
US,OK,73039,,9.5,Tax,1,1,0,
US,OK,73040,,8.875,Tax,1,1,0,
US,OK,73041,,9,Tax,1,1,0,
US,OK,73042,,10,Tax,1,1,0,
US,OK,73043,,8.375,Tax,1,1,0,
US,OK,73044,,9.25,Tax,1,1,0,
US,OK,73045,,8.625,Tax,1,1,0,
US,OK,73047,,9,Tax,1,1,0,
US,OK,73048,,10.5,Tax,1,1,0,
US,OK,73049,,9.5,Tax,1,1,0,
US,OK,73050,,9.25,Tax,1,1,0,
US,OK,73051,,9.625,Tax,1,1,0,
US,OK,73052,,10,Tax,1,1,0,
US,OK,73053,,9,Tax,1,1,0,
US,OK,73054,,8.625,Tax,1,1,0,
US,OK,73055,,8.7,Tax,1,1,0,
US,OK,73056,,9.25,Tax,1,1,0,
US,OK,73057,,9.25,Tax,1,1,0,
US,OK,73058,,7.25,Tax,1,1,0,
US,OK,73059,,9.25,Tax,1,1,0,
US,OK,73061,,10,Tax,1,1,0,
US,OK,73062,,9,Tax,1,1,0,
US,OK,73063,,8.25,Tax,1,1,0,
US,OK,73064,,8.975,Tax,1,1,0,
US,OK,73065,,9.75,Tax,1,1,0,
US,OK,73066,,9.5,Tax,1,1,0,
US,OK,73067,,9,Tax,1,1,0,
US,OK,73068,,8.75,Tax,1,1,0,
US,OK,73069,,8.75,Tax,1,1,0,
US,OK,73070,,8.75,Tax,1,1,0,
US,OK,73071,,9,Tax,1,1,0,
US,OK,73072,,9,Tax,1,1,0,
US,OK,73073,,9.313,Tax,1,1,0,
US,OK,73074,,8.25,Tax,1,1,0,
US,OK,73075,,9.75,Tax,1,1,0,
US,OK,73077,,10.25,Tax,1,1,0,
US,OK,73078,,9.85,Tax,1,1,0,
US,OK,73079,,6.75,Tax,1,1,0,
US,OK,73080,,10,Tax,1,1,0,
US,OK,73082,,9.75,Tax,1,1,0,
US,OK,73083,,8.5,Tax,1,1,0,
US,OK,73084,,9.5,Tax,1,1,0,
US,OK,73085,,8.85,Tax,1,1,0,
US,OK,73086,,9.5,Tax,1,1,0,
US,OK,73089,,9.75,Tax,1,1,0,
US,OK,73090,,8.85,Tax,1,1,0,
US,OK,73092,,9,Tax,1,1,0,
US,OK,73093,,10,Tax,1,1,0,
US,OK,73095,,10,Tax,1,1,0,
US,OK,73096,,9.5,Tax,1,1,0,
US,OK,73097,,8.625,Tax,1,1,0,
US,OK,73098,,9.25,Tax,1,1,0,
US,OK,73099,,9.85,Tax,1,1,0,
US,OK,73101,,8.625,Tax,1,1,0,
US,OK,73102,,8.625,Tax,1,1,0,
US,OK,73103,,8.625,Tax,1,1,0,
US,OK,73104,,8.625,Tax,1,1,0,
US,OK,73105,,8.625,Tax,1,1,0,
US,OK,73106,,8.625,Tax,1,1,0,
US,OK,73107,,8.625,Tax,1,1,0,
US,OK,73108,,8.625,Tax,1,1,0,
US,OK,73109,,8.625,Tax,1,1,0,
US,OK,73110,,9.1,Tax,1,1,0,
US,OK,73111,,8.625,Tax,1,1,0,
US,OK,73112,,8.625,Tax,1,1,0,
US,OK,73113,,8.625,Tax,1,1,0,
US,OK,73114,,8.75,Tax,1,1,0,
US,OK,73115,,9.1,Tax,1,1,0,
US,OK,73116,,8.625,Tax,1,1,0,
US,OK,73117,,9.1,Tax,1,1,0,
US,OK,73118,,8.625,Tax,1,1,0,
US,OK,73119,,8.625,Tax,1,1,0,
US,OK,73120,,9,Tax,1,1,0,
US,OK,73121,,8.625,Tax,1,1,0,
US,OK,73122,,8.625,Tax,1,1,0,
US,OK,73123,,8.5,Tax,1,1,0,
US,OK,73124,,8.625,Tax,1,1,0,
US,OK,73125,,8.625,Tax,1,1,0,
US,OK,73126,,8.625,Tax,1,1,0,
US,OK,73127,,8.975,Tax,1,1,0,
US,OK,73128,,8.975,Tax,1,1,0,
US,OK,73129,,9,Tax,1,1,0,
US,OK,73130,,9.5,Tax,1,1,0,
US,OK,73131,,8.625,Tax,1,1,0,
US,OK,73132,,8.975,Tax,1,1,0,
US,OK,73134,,9,Tax,1,1,0,
US,OK,73135,,9,Tax,1,1,0,
US,OK,73136,,8.625,Tax,1,1,0,
US,OK,73137,,8.625,Tax,1,1,0,
US,OK,73139,,8.75,Tax,1,1,0,
US,OK,73140,,9.1,Tax,1,1,0,
US,OK,73141,,9.5,Tax,1,1,0,
US,OK,73142,,8.625,Tax,1,1,0,
US,OK,73143,,8.625,Tax,1,1,0,
US,OK,73144,,8.75,Tax,1,1,0,
US,OK,73145,,8.625,Tax,1,1,0,
US,OK,73146,,8.625,Tax,1,1,0,
US,OK,73147,,8.625,Tax,1,1,0,
US,OK,73148,,8.625,Tax,1,1,0,
US,OK,73149,,8.75,Tax,1,1,0,
US,OK,73150,,9.1,Tax,1,1,0,
US,OK,73151,,8.625,Tax,1,1,0,
US,OK,73152,,8.625,Tax,1,1,0,
US,OK,73153,,8.5,Tax,1,1,0,
US,OK,73154,,8.625,Tax,1,1,0,
US,OK,73155,,9,Tax,1,1,0,
US,OK,73156,,9,Tax,1,1,0,
US,OK,73157,,8.625,Tax,1,1,0,
US,OK,73159,,8.75,Tax,1,1,0,
US,OK,73160,,8.75,Tax,1,1,0,
US,OK,73162,,8.975,Tax,1,1,0,
US,OK,73163,,8.625,Tax,1,1,0,
US,OK,73164,,8.625,Tax,1,1,0,
US,OK,73165,,9,Tax,1,1,0,
US,OK,73167,,8.625,Tax,1,1,0,
US,OK,73169,,8.75,Tax,1,1,0,
US,OK,73170,,8.75,Tax,1,1,0,
US,OK,73172,,8.625,Tax,1,1,0,
US,OK,73173,,8.975,Tax,1,1,0,
US,OK,73178,,8.625,Tax,1,1,0,
US,OK,73179,,8.975,Tax,1,1,0,
US,OK,73184,,8.625,Tax,1,1,0,
US,OK,73189,,8.75,Tax,1,1,0,
US,OK,73190,,8.625,Tax,1,1,0,
US,OK,73194,,8.625,Tax,1,1,0,
US,OK,73195,,8.625,Tax,1,1,0,
US,OK,73196,,8.625,Tax,1,1,0,
US,OK,73401,,9.5,Tax,1,1,0,
US,OK,73402,,9.125,Tax,1,1,0,
US,OK,73403,,9.125,Tax,1,1,0,
