Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,SC,29001,,8,Tax,1,1,0,
US,SC,29002,,8,Tax,1,1,0,
US,SC,29003,,8,Tax,1,1,0,
US,SC,29006,,8,Tax,1,1,0,
US,SC,29009,,8,Tax,1,1,0,
US,SC,29010,,8,Tax,1,1,0,
US,SC,29014,,8,Tax,1,1,0,
US,SC,29015,,7,Tax,1,1,0,
US,SC,29016,,8,Tax,1,1,0,
US,SC,29018,,7,Tax,1,1,0,
US,SC,29020,,8,Tax,1,1,0,
US,SC,29021,,8,Tax,1,1,0,
US,SC,29030,,8,Tax,1,1,0,
US,SC,29031,,8,Tax,1,1,0,
US,SC,29032,,8,Tax,1,1,0,
US,SC,29033,,7,Tax,1,1,0,
US,SC,29036,,8,Tax,1,1,0,
US,SC,29037,,8,Tax,1,1,0,
US,SC,29038,,8,Tax,1,1,0,
US,SC,29039,,7,Tax,1,1,0,
US,SC,29040,,8,Tax,1,1,0,
US,SC,29041,,8,Tax,1,1,0,
US,SC,29042,,8,Tax,1,1,0,
US,SC,29044,,8,Tax,1,1,0,
US,SC,29045,,8,Tax,1,1,0,
US,SC,29046,,8,Tax,1,1,0,
US,SC,29047,,8,Tax,1,1,0,
US,SC,29048,,7,Tax,1,1,0,
US,SC,29051,,8,Tax,1,1,0,
US,SC,29052,,8,Tax,1,1,0,
US,SC,29053,,8,Tax,1,1,0,
US,SC,29054,,7,Tax,1,1,0,
US,SC,29055,,8,Tax,1,1,0,
US,SC,29056,,8,Tax,1,1,0,
US,SC,29058,,8,Tax,1,1,0,
US,SC,29059,,8,Tax,1,1,0,
US,SC,29061,,8,Tax,1,1,0,
US,SC,29062,,8,Tax,1,1,0,
US,SC,29063,,8,Tax,1,1,0,
US,SC,29065,,7,Tax,1,1,0,
US,SC,29067,,8,Tax,1,1,0,
US,SC,29069,,8,Tax,1,1,0,
US,SC,29070,,8,Tax,1,1,0,
US,SC,29071,,7,Tax,1,1,0,
US,SC,29072,,7,Tax,1,1,0,
US,SC,29073,,7,Tax,1,1,0,
US,SC,29074,,8,Tax,1,1,0,
US,SC,29075,,8,Tax,1,1,0,
US,SC,29078,,8,Tax,1,1,0,
US,SC,29079,,8,Tax,1,1,0,
US,SC,29080,,8,Tax,1,1,0,
US,SC,29081,,8,Tax,1,1,0,
US,SC,29082,,8,Tax,1,1,0,
US,SC,29101,,8,Tax,1,1,0,
US,SC,29102,,8,Tax,1,1,0,
US,SC,29104,,8,Tax,1,1,0,
US,SC,29105,,8,Tax,1,1,0,
US,SC,29107,,7,Tax,1,1,0,
US,SC,29108,,7,Tax,1,1,0,
US,SC,29111,,8,Tax,1,1,0,
US,SC,29112,,8,Tax,1,1,0,
US,SC,29113,,7,Tax,1,1,0,
US,SC,29114,,8,Tax,1,1,0,
US,SC,29115,,7,Tax,1,1,0,
US,SC,29116,,7,Tax,1,1,0,
US,SC,29117,,7,Tax,1,1,0,
US,SC,29118,,8,Tax,1,1,0,
US,SC,29122,,7,Tax,1,1,0,
US,SC,29123,,8,Tax,1,1,0,
US,SC,29125,,8,Tax,1,1,0,
US,SC,29126,,7,Tax,1,1,0,
US,SC,29127,,8,Tax,1,1,0,
US,SC,29128,,8,Tax,1,1,0,
US,SC,29129,,8,Tax,1,1,0,
