Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,TX,73301,,8.25,Tax,1,1,0,
US,TX,73344,,8.25,Tax,1,1,0,
US,TX,73960,,6.25,Tax,1,1,0,
US,TX,75001,,8.25,Tax,1,1,0,
US,TX,75002,,8.25,Tax,1,1,0,
US,TX,75006,,8.25,Tax,1,1,0,
US,TX,75007,,8.25,Tax,1,1,0,
US,TX,75009,,8.25,Tax,1,1,0,
US,TX,75010,,8.25,Tax,1,1,0,
US,TX,75011,,8.25,Tax,1,1,0,
US,TX,75013,,8.25,Tax,1,1,0,
US,TX,75014,,8.25,Tax,1,1,0,
US,TX,75015,,8.25,Tax,1,1,0,
US,TX,75016,,8.25,Tax,1,1,0,
US,TX,75017,,8.25,Tax,1,1,0,
US,TX,75019,,8.25,Tax,1,1,0,
US,TX,75020,,8.25,Tax,1,1,0,
US,TX,75021,,8.25,Tax,1,1,0,
US,TX,75022,,8.25,Tax,1,1,0,
US,TX,75023,,8.25,Tax,1,1,0,
US,TX,75024,,8.25,Tax,1,1,0,
US,TX,75025,,8.25,Tax,1,1,0,
US,TX,75026,,8.25,Tax,1,1,0,
US,TX,75027,,8.25,Tax,1,1,0,
US,TX,75028,,8.25,Tax,1,1,0,
US,TX,75029,,8.25,Tax,1,1,0,
US,TX,75030,,8.25,Tax,1,1,0,
US,TX,75032,,8.25,Tax,1,1,0,
US,TX,75033,,6.25,Tax,1,1,0,
US,TX,75034,,6.25,Tax,1,1,0,
US,TX,75035,,6.25,Tax,1,1,0,
US,TX,75036,,8.25,Tax,1,1,0,
US,TX,75038,,8.25,Tax,1,1,0,
US,TX,75039,,8.25,Tax,1,1,0,
US,TX,75040,,8.25,Tax,1,1,0,
US,TX,75041,,8.25,Tax,1,1,0,
US,TX,75042,,8.25,Tax,1,1,0,
US,TX,75043,,8.25,Tax,1,1,0,
US,TX,75044,,8.25,Tax,1,1,0,
US,TX,75045,,8.25,Tax,1,1,0,
US,TX,75046,,8.25,Tax,1,1,0,
US,TX,75047,,8.25,Tax,1,1,0,
US,TX,75048,,8.25,Tax,1,1,0,
US,TX,75049,,8.25,Tax,1,1,0,
US,TX,75050,,8.25,Tax,1,1,0,
US,TX,75051,,8.25,Tax,1,1,0,
US,TX,75052,,8.25,Tax,1,1,0,
US,TX,75053,,8.25,Tax,1,1,0,
US,TX,75054,,8.25,Tax,1,1,0,
US,TX,75056,,8.25,Tax,1,1,0,
US,TX,75057,,8.25,Tax,1,1,0,
US,TX,75058,,8.25,Tax,1,1,0,
US,TX,75059,,8.25,Tax,1,1,0,
US,TX,75060,,8.25,Tax,1,1,0,
US,TX,75061,,8.25,Tax,1,1,0,
US,TX,75062,,8.25,Tax,1,1,0,
US,TX,75063,,8.25,Tax,1,1,0,
US,TX,75064,,8.25,Tax,1,1,0,
US,TX,75065,,8.25,Tax,1,1,0,
US,TX,75067,,8.25,Tax,1,1,0,
US,TX,75068,,8.25,Tax,1,1,0,
US,TX,75069,,8.25,Tax,1,1,0,
US,TX,75070,,8.25,Tax,1,1,0,
US,TX,75071,,8.25,Tax,1,1,0,
US,TX,75072,,8.25,Tax,1,1,0,
US,TX,75074,,8.25,Tax,1,1,0,
US,TX,75075,,8.25,Tax,1,1,0,
US,TX,75076,,8.25,Tax,1,1,0,
